Artist,Song
AURORA,Runaway
Beach Bunny,Cloud 9
Surf Curse,Freaks
Arctic Monkeys,Do I Wanna Know?
Billie Eilish,when the party's over
BØRNS,Electric Love
Glass Animals,Heat Waves
Tame Impala,The Less I Know The Better
Foster The People,Pumped Up Kicks
Mother Mother,Hayloft
The White Stripes,Seven Nation Army
Creedence Clearwater Revival,Fortunate Son
Radiohead,Creep
The Killers,Mr. Brightside
Kings of Leon,Sex on Fire
Gorillaz,Feel Good Inc.
Of Monsters and Men,Little Talks
Lord Huron,The Night We Met
The Strokes,The Adults Are Talking
Joji,Yeah Right
Ashe,Till Forever Falls Apart
The Verve,Bitter Sweet Symphony
Eyedress,Jealous
Arctic Monkeys,R U Mine?
Tame Impala,Borderline
Empire of the Sun,Walking On A Dream
Franz Ferdinand,Take Me Out
Jimi Hendrix,All Along the Watchtower
MGMT,Electric Feel
Cage The Elephant,Cigarette Daydreams
MGMT,Kids
Pixies,Where Is My Mind?
girl in red,Serotonin
Led Zeppelin,Immigrant Song - Remaster
Still Woozy,Goodie Bag
Blur,Song 2 - 2012 Remaster
Buffalo Springfield,For What It's Worth
The Cranberries,Linger
Arctic Monkeys,Fluorescent Adolescent
"Tyler, The Creator",BEST INTEREST
Fred again..,Marea (We’ve Lost Dancing)
Jet,Are You Gonna Be My Girl
Soundgarden,Black Hole Sun
The Strokes,Reptilia
Pearl Jam,Alive
The Lumineers,Ho Hey
Blind Melon,No Rain
Yot Club,YKWIM?
The Smashing Pumpkins,1979 - Remastered 2012
Radiohead,Karma Police
Lou Reed,Walk on the Wild Side
The Cure,Friday I'm In Love
Current Joys,Kids
Molchat Doma,Судно (Борис Рижий)
The Rolling Stones,Gimme Shelter
Le Tigre,Deceptacon
The Animals,House of the Rising Sun
The Black Keys,Lonely Boy
New Radicals,You Get What You Give
The Kooks,Naive
Khruangbin,Texas Sun
The Killers,Somebody Told Me
The Smiths,This Charming Man - 2011 Remaster
The Clash,London Calling - Remastered
Radiohead,High And Dry
Talking Heads,Psycho Killer - 2005 Remaster
alt-J,Breezeblocks
The 1975,Somebody Else
Dayglow,Close To You
The Doors,Light My Fire
Arctic Monkeys,When The Sun Goes Down
Sonder,Nobody But You
Phoebe Bridgers,Motion Sickness
Beastie Boys,Sabotage
Radiohead,No Surprises
David Bowie,Space Oddity - 2015 Remaster
Mazzy Star,Fade Into You
The Smiths,There Is a Light That Never Goes Out - 2011 Remaster
Arctic Monkeys,Snap Out Of It
Edward Sharpe & The Magnetic Zeros,Home
Weezer,Buddy Holly
Declan McKenna,Brazil
Iggy Pop,The Passenger
Florence + The Machine,Dog Days Are Over
Verzache,The Loser
The Band,The Weight - Remastered
Steve Lacy,Dark Red
The Smashing Pumpkins,Bullet With Butterfly Wings
Two Door Cinema Club,What You Know
Sufjan Stevens,Mystery of Love
Arctic Monkeys,I Bet You Look Good On The Dancefloor
The Strokes,Last Nite
Jungle,Keep Moving
Fugees,Ready or Not
Modest Mouse,Float On
Young the Giant,Cough Syrup
Stone Temple Pilots,Interstate Love Song
Supergrass,Alright
Peter Bjorn and John,Young Folks
MGMT,Time to Pretend
Queens of the Stone Age,No One Knows
The Clash,Rock the Casbah - Remastered
Kali Uchis,fue mejor
La Roux,Bulletproof
The Shins,New Slang
The Black Keys,Gold on the Ceiling
Phoebe Bridgers,Kyoto
The Stranglers,Golden Brown
Tame Impala,Lost In Yesterday
The White Stripes,Fell in Love with a Girl
Clairo,4EVER
Still Woozy,Window
The Kooks,She Moves In Her Own Way
Tame Impala,Is It True
Tai Verdes,A-O-K
Passion Pit,Take a Walk
THE ANXIETY,Meet Me At Our Spot
Steppenwolf,Magic Carpet Ride
Remi Wolf,Photo ID
Q,Alone
The Temper Trap,Sweet Disposition
Vampire Weekend,A-Punk
Tame Impala,Elephant
Violent Femmes,Blister In The Sun
Still Woozy,Kenny
100 gecs,money machine
Blondie,Call Me
New Order,Blue Monday
The Smiths,How Soon Is Now? - 2011 Remaster
MARINA,Purge The Poison
Bag Raiders,Shooting Stars
Talking Heads,Once in a Lifetime - 2005 Remaster
M83,Wait
Bon Iver,Holocene
Mac DeMarco,Still Beating
The Cult,She Sells Sanctuary
girl in red,Body And Mind
Cage The Elephant,Social Cues
Mumford & Sons,Little Lion Man
Joy Division,Love Will Tear Us Apart
The Jam,Town Called Malice
Bring Me The Horizon,Parasite Eve
Jefferson Airplane,White Rabbit
Pulp,Common People
Procol Harum,A Whiter Shade Of Pale
Grizzly Bear,Two Weeks
Pixies,Here Comes Your Man
Mitski,A Pearl
Daughter,Youth
Glass Animals,Tangerine
The Neighbourhood,Pretty Boy
Still Woozy,Rocky
Joy Division,Disorder - 2007 Remaster
Massive Attack,Teardrop
Kate Bush,Wuthering Heights
Stereophonics,Dakota
Lou Reed,Perfect Day
Foals,My Number
The Hives,Hate To Say I Told You So
The White Stripes,Icky Thump
Spoon,Do You
The Presidents Of The United States Of America,Lump
Q,Take Me Where Your Heart Is
girl in red,Rue
Tame Impala,Breathe Deeper
Blur,Girls & Boys
James Blake,Godspeed
Skrillex,Butterflies (with Starrah & Four Tet)
Cream,Sunshine Of Your Love
Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it
Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC
Gracie Abrams,Mess It Up
Yeah Yeah Yeahs,Maps
The La's,There She Goes
The Dandy Warhols,Bohemian Like You
Cautious Clay,Cold War
The Cure,Close To Me
Peach Pit,Tommy's Party
Thundercat,Dragonball Durag
The Kinks,All Day and All of the Night
The Runaways,Cherry Bomb
Phoebe Bridgers,I Know The End
Patti Smith,Because the Night
New Order,Blue Monday - 2016 Remaster
Yeah Yeah Yeahs,Heads Will Roll
Leon Bridges,Motorbike
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin
Remi Wolf,Photo ID (with Dominic Fike)
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix
The Black Keys,Howlin' for You
New Order,Age of Consent - 2015 Remaster
The Cardigans,My Favourite Game
Paul McCartney,The Kiss Of Venus (Dominic Fike)
The Strokes,Someday
Razorlight,America
alt-J,Left Hand Free
Crystal Castles,Crimewave
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season)
Iggy Pop,Lust For Life
Joji,MODUS
Placebo,Every You Every Me
PawPaw Rod,HIT EM WHERE IT HURTS
FKA twigs,cellophane
Pixies,Hey
Hole,Celebrity Skin
Joji,Tick Tock
James,Laid
Two Feet,Quick Musical Doodles
Justice,D.A.N.C.E.
Wallows,OK - with Remi Wolf & Solomonophonic
Blur,Coffee & TV
Cocteau Twins,Cherry-coloured Funk
Fleet Foxes,Can I Believe You
The xx,Crystalised
Lord Huron,Not Dead Yet
Phoenix,If I Ever Feel Better
The Breeders,Cannonball
The 1975,Chocolate
Beck,Loser
The Doors,Love Her Madly
Queens of the Stone Age,I Sat By The Ocean
The Raconteurs,"Steady, As She Goes"
Cake,Short Skirt / Long Jacket
SAULT,Wildfires
The Kingsmen,Louie Louie
Bombay Bicycle Club,Always Like This
Peach Pit,Peach Pit
Foals,Mountain at My Gates
OK Go,Here It Goes Again
Nathaniel Rateliff & The Night Sweats,S.O.B.
RY X,Berlin
LEISURE,Slipping Away
Phoebe Bridgers,Friday I’m In Love - Recorded at Spotify Studios NYC
The Marías,I Don't Know You
Frank Ocean,Cayendo (Side A - Acoustic)
Jelani Aryeh,Stella Brown
Jane's Addiction,Jane Says
Arlo Parks,Eugene
Phoebe Bridgers,Savior Complex
Klaxons,Golden Skans
Porter Robinson,Unfold
The White Stripes,The Hardest Button to Button
Broken Bells,The High Road
Kings of Convenience,Rocky Trail
Glass Animals,Life Itself
Arcade Fire,Rebellion (Lies)
Future Islands,Seasons (Waiting On You)
Biig Piig,Feels Right
Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You)"
The Coral,Dreaming of You
Silversun Pickups,Lazy Eye
Fugazi,Waiting Room
The Verve,Lucky Man
Gerry Cinnamon,Sometimes
The White Stripes,Blue Orchid
Washed Out,Feel It All Around
Kito,Recap (with VanJess & Channel Tres)
The Marías,Hush
The Clash,Train in Vain (Stand by Me) - Remastered
Pretenders,Brass in Pocket - 2006 Remaster
James Blake,Retrograde
Khruangbin,Time (You and I)
The xx,Angels
half•alive,What's Wrong
Interpol,Evil
070 Shake,Guilty Conscience
Catfish and the Bottlemen,Kathleen
Arcade Fire,Wake Up
Nirvana,In Bloom
The Prodigy,Breathe
The Stone Roses,I Wanna Be Adored - Remastered
Terrace Martin,Freeze Tag (feat. Phoelix)
Tears For Fears,Mad World
Pulp,Disco 2000
Deftones,Be Quiet and Drive (Far Away)
Kylesimps,S.I.M.P
The National,I Need My Girl
Khruangbin,Midnight
Vampire Weekend,Harmony Hall
Vampire Weekend,This Life
The Neighbourhood,Lost in Translation
Gorillaz,The Valley of The Pagans (feat. Beck)
The Vaccines,If You Wanna
Bakar,1st Time
Gorillaz,Stylo (feat. Mos Def and Bobby Womack)
The Jesus and Mary Chain,Just Like Honey
Lord Huron,I Lied (with Allison Ponthier)
Elderbrook,Talking
Arcade Fire,Everything Now
Interpol,Rest My Chemistry
Nirvana,Love Buzz
Phoebe Bridgers,Funeral
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version
Japanese Breakfast,Be Sweet
The War On Drugs,Red Eyes
Bloc Party,Banquet
Jungle,Busy Earnin'
Phoenix,1901
Steve Harley,Make Me Smile (Come up and See Me)
The Black Keys,Fever
Bleachers,Chinatown (feat. Bruce Springsteen)
Chet Faker,Low
Pixies,Debaser
Edwyn Collins,A Girl Like You
Jake Bugg,All I Need
Cake,The Distance
No Vacation,Yam Yam
Modest Mouse,Dashboard
Sure Sure,This Must Be The Place
Caroline Polachek,So Hot You're Hurting My Feelings
Mott The Hoople,All the Young Dudes
The Cure,A Forest
Caesars,Jerk It Out
The Verve,The Drugs Don't Work
Elliott Smith,Between the Bars
Gary Numan,Cars
White Town,Your Woman
Primal Scream,Movin' on Up
Kurt Vile,Pretty Pimpin
Sonic Youth,Teen Age Riot (Album Version)
Crystal Castles,Vanished
BENEE,Find an Island
Chet Faker,Whatever Tomorrow
The Lemonheads,Mrs. Robinson - Remastered
The Shins,Australia
Lucy Dacus,Hot & Heavy
The National,Light Years
Cocteau Twins,Heaven Or Las Vegas
Nico,These Days
