Artist,Song,Popularity
Radiohead,Creep,86.0
Gorillaz,Feel Good Inc.,85.0
The Killers,Mr. Brightside,85.0
Steve Lacy,Dark Red,84.0
Glass Animals,Heat Waves,84.0
Arctic Monkeys,Do I Wanna Know?,84.0
Tame Impala,The Less I Know The Better,83.0
Surf Curse,Freaks,83.0
Billie Eilish,when the party's over,83.0
Foster The People,Pumped Up Kicks,83.0
The Cranberries,Linger,82.0
Mazzy Star,Fade Into You,82.0
Kings of Leon,Sex on Fire,82.0
Creedence Clearwater Revival,Fortunate Son,82.0
The White Stripes,Seven Nation Army,81.0
Radiohead,No Surprises,81.0
Eyedress,Jealous,81.0
The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,80.0
The Lumineers,Ho Hey,80.0
The Verve,Bitter Sweet Symphony,80.0
Tame Impala,Borderline,79.0
Declan McKenna,Brazil,79.0
Arctic Monkeys,R U Mine?,79.0
Franz Ferdinand,Take Me Out,79.0
The Killers,Somebody Told Me,79.0
Cage The Elephant,Cigarette Daydreams,79.0
Blur,Song 2 - 2012 Remaster,79.0
MGMT,Electric Feel,78.0
MGMT,Kids,78.0
Yot Club,YKWIM?,78.0
"Tyler, The Creator",BEST INTEREST,78.0
Two Door Cinema Club,What You Know,77.0
Gracie Abrams,Mess It Up,77.0
Buffalo Springfield,For What It's Worth,77.0
The Strokes,The Adults Are Talking,77.0
Radiohead,Karma Police,77.0
Of Monsters and Men,Little Talks,77.0
Lord Huron,The Night We Met,77.0
The Strokes,Reptilia,77.0
Adrianne Lenker,anything,77.0
BØRNS,Electric Love,76.0
Wand,Wonder,76.0
Soundgarden,Black Hole Sun,76.0
The Smashing Pumpkins,1979 - Remastered 2012,76.0
Arctic Monkeys,Snap Out Of It,76.0
Led Zeppelin,Immigrant Song - Remaster,75.0
Deftones,Be Quiet and Drive (Far Away),75.0
Pixies,Where Is My Mind?,75.0
Radiohead,High And Dry,75.0
The Smiths,This Charming Man - 2011 Remaster,75.0
The Killers,When You Were Young,75.0
Peter Bjorn and John,Young Folks,75.0
New Radicals,You Get What You Give,75.0
The Rolling Stones,Gimme Shelter,74.0
Current Joys,Kids,74.0
Phoebe Bridgers,Motion Sickness,74.0
Yeah Yeah Yeahs,Maps,74.0
Will Paquin,Chandelier,74.0
Weezer,Say It Ain't So,74.0
Edward Sharpe & The Magnetic Zeros,Home,74.0
The La's,There She Goes,74.0
The Neighbourhood,Pretty Boy,74.0
Weezer,Buddy Holly,74.0
Cigarettes After Sex,Touch,73.0
Florence + The Machine,Dog Days Are Over,73.0
Lou Reed,Walk on the Wild Side,73.0
Pearl Jam,Alive,73.0
Supergrass,Alright,73.0
Beach Bunny,Cloud 9,73.0
Khruangbin,Texas Sun,73.0
Talking Heads,Psycho Killer - 2005 Remaster,73.0
Mother Mother,Hayloft,73.0
The Smashing Pumpkins,Bullet With Butterfly Wings,73.0
Blind Melon,No Rain,72.0
The Clash,Rock the Casbah - Remastered,72.0
Jimi Hendrix,All Along the Watchtower,72.0
Jet,Are You Gonna Be My Girl,72.0
Clairo,4EVER,72.0
Phoebe Bridgers,I Know The End,72.0
Kavinsky,Nightcall,72.0
MGMT,Time to Pretend,72.0
SAULT,Wildfires,71.0
Faye Webster,In A Good Way,71.0
Faye Webster,I Know I'm Funny haha,71.0
Stone Temple Pilots,Interstate Love Song,71.0
Slowdive,When the Sun Hits,71.0
Radiohead,Just,71.0
Molchat Doma,Судно (Борис Рижий),71.0
Modest Mouse,Float On,71.0
THE ANXIETY,Meet Me At Our Spot,71.0
Beastie Boys,Sabotage,71.0
Ashe,Till Forever Falls Apart,71.0
Crumb,Ghostride,71.0
The Smiths,How Soon Is Now? - 2011 Remaster,71.0
Arctic Monkeys,I Bet You Look Good On The Dancefloor,71.0
La Roux,Bulletproof,71.0
The Killers,All These Things That I've Done,70.0
AURORA,Runaway,70.0
Arctic Monkeys,When The Sun Goes Down,70.0
Still Woozy,Goodie Bag,70.0
New Order,Blue Monday,70.0
